                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 2.4765,                 2.7647,                 2.0055,                0.52524,                0.03258,                 0.0176,                0.00576,                  2.787,                 2.9165,                 2.2192,             0.00043402,             0.00043402,             0.00043402
                     46,                 2.4723,                 2.7508,                 1.9931,                0.52673,                0.03856,                0.01883,                0.00591,                 2.8108,                 2.9101,                 2.2179,             0.00042641,             0.00042641,             0.00042641
                     47,                 2.4657,                 2.7575,                 1.9983,                0.52259,                0.04614,                0.01767,                0.00599,                 2.7757,                 2.8962,                 2.2014,              0.0004188,              0.0004188,              0.0004188
                     48,                 2.4716,                 2.7582,                 2.0063,                0.52609,                0.04017,                0.01698,                0.00546,                 2.7894,                 2.9284,                 2.2182,             0.00041118,             0.00041118,             0.00041118
                     49,                 2.4669,                 2.7419,                 1.9925,                0.52602,                 0.0358,                0.01864,                0.00612,                 2.7649,                 2.9007,                 2.2031,             0.00040357,             0.00040357,             0.00040357
                     50,                 2.4596,                 2.7503,                 1.9899,                0.52738,                0.03243,                 0.0188,                0.00612,                 2.7746,                 2.8813,                 2.2067,             0.00039596,             0.00039596,             0.00039596
                     51,                 2.4572,                  2.736,                 1.9893,                0.65205,                0.04075,                0.01886,                0.00612,                 2.7495,                 2.8812,                 2.1814,             0.00038835,             0.00038835,             0.00038835
                     52,                 2.4485,                 2.7429,                 1.9889,                0.64809,                 0.0426,                0.01912,                0.00663,                 2.7439,                 2.8835,                 2.2117,             0.00038073,             0.00038073,             0.00038073
                     53,                 2.4463,                 2.7352,                 1.9891,                0.65045,                 0.0381,                0.01841,                0.00613,                 2.7811,                 2.8672,                 2.2208,             0.00037312,             0.00037312,             0.00037312
                     54,                 2.4541,                  2.738,                  1.984,                0.52517,                0.04208,                0.01955,                0.00653,                 2.7663,                 2.8888,                 2.2263,             0.00036551,             0.00036551,             0.00036551
                     55,                 2.4404,                 2.7378,                  1.985,                0.56426,                0.04331,                0.01879,                0.00635,                  2.782,                 2.9092,                 2.1967,             0.00035789,             0.00035789,             0.00035789
