                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.76166,                0.60898,                0.98339,                0.66854,                0.49215,                0.57896,                0.37417,                  1.044,                  1.064,                 1.1381,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.72396,                0.59788,                0.96385,                0.69057,                0.47572,                0.57189,                0.37376,                 1.0532,                 1.0838,                 1.1446,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.72771,                0.59402,                0.95776,                0.60842,                 0.4978,                0.56017,                0.36397,                 1.0696,                 1.0679,                 1.1564,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.69328,                0.55229,                0.94032,                0.62606,                0.49772,                0.56625,                0.36636,                 1.0823,                 1.0493,                 1.1624,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.68553,                0.53573,                 0.9224,                0.62426,                0.49959,                 0.5666,                0.35832,                 1.0921,                 1.0482,                 1.1699,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.67765,                0.53026,                0.92124,                0.63712,                0.49096,                 0.5676,                 0.3629,                 1.0747,                 1.0483,                  1.166,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.66838,                0.52397,                0.93003,                0.64822,                0.48983,                0.56989,                0.36439,                 1.0663,                 1.0347,                  1.156,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.64644,                0.51364,                0.91791,                0.67895,                0.47572,                0.57146,                0.36889,                 1.0743,                   1.05,                 1.1586,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.66562,                0.51889,                0.91769,                0.67706,                0.48648,                0.57566,                0.37261,                 1.0653,                 1.0414,                  1.155,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.66712,                0.51214,                0.92686,                0.81011,                0.48255,                0.57462,                0.37162,                 1.0615,                 1.0425,                  1.149,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.65825,                0.51151,                0.92598,                 0.8154,                0.48834,                0.57569,                0.37158,                 1.0563,                 1.0314,                 1.1485,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 0.6545,                0.51455,                0.93024,                0.59567,                0.52297,                0.57612,                0.37201,                 1.0567,                 1.0283,                 1.1511,             1.4209e-05,             1.4209e-05,             1.4209e-05
